Fonte,Título,Link,Área,Localidade,Salário,Habilidades,Empresa,Publicada em,Modalidade,Requisitos,Descrição
catho,Almoxarife Junior,https://www.catho.com.br/vagas/almoxarife-junior/33217554/,,,,,,,,,"CANDIDATURA FÁCIL Almoxarife Junior Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Guarulhos - SP (1) Publicada hoje • Receber materiais e conferir notas fiscais com pedidos de compra. • Armazenar materiais conforme as normas de organização e segurança. • Separar materiais para atendimento de… continuar lendo Enviar Candidatura Fácil"
catho,ASSISTENTE FINANCEIRO (FOCO EM CONTAS A RECEBER),https://www.catho.com.br/vagas/assistente-financeiro-foco-em-contas-a-receber/33219299/,,,,,,,,,"CANDIDATURA FÁCIL ASSISTENTE FINANCEIRO (FOCO EM CONTAS A RECEBER) EB TREINAMENTOS Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Santo Andre - SP (1) Publicada hoje Suas principais responsabilidades serão: Realizar cobranças de clientes inadimplentes com cordialidade, empatia e foco em resultados; Controlar e executar os processos de contas… continuar lendo Enviar Candidatura Fácil"
catho,Recepcionista / Atendente,https://www.catho.com.br/vagas/recepcionista-atendente/33219692/,,,,,,,,,"CANDIDATURA FÁCIL Recepcionista / Atendente ******** Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Principais responsabilidades: • Recepcionar e atender pacientes, visitantes e fornecedores de forma cordial e profissional; • Realizar agendamentos, confirmações e orientações… continuar lendo Enviar Candidatura Fácil"
catho,Auxiliar Administrativo,https://www.catho.com.br/vagas/auxiliar-administrativo/33219291/,,,,,,,,,"CANDIDATURA FÁCIL Auxiliar Administrativo IAGÁ Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje atendimento telefônico ao cliente , arquivos , relatórios , etc... continuar lendo Enviar Candidatura Fácil"
catho,Assistente Comercial CX,https://www.catho.com.br/vagas/assistente-comercial-cx/33219270/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Comercial CX Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Principais Atribuições: Desenvolver abordagens de cross-sell e up-sell na carteira de clientes; Apoiar nas ações para superar objeções de potenciais clientes; Monitorar o… continuar lendo Enviar Candidatura Fácil"
catho,Call Center,https://www.catho.com.br/vagas/call-center/33219249/,,,,,,,,,"CANDIDATURA FÁCIL Call Center G3OP Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Goiania - GO (1) Publicada hoje Pré-atendimento por telefone aos clientes interessados; Qualificação de leads e verificação de perfil; Agendamento dos clientes e repasse à Consultoria de Vendas.Ensino médio… continuar lendo Enviar Candidatura Fácil"
catho,Estoquista - Grupo AZZAS,https://www.catho.com.br/vagas/estoquista-grupo-azzas/33222441/,,,,,,,,,"CANDIDATURA FÁCIL Estoquista - Grupo AZZAS AREZZO De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Descrição da vaga Nosso time é formado por pessoas com brilho no olho e vontade de fazer a diferença. Temos objetivo de encantar clientes do Brasil e do mundo, com propósito de… continuar lendo Enviar Candidatura Fácil"
catho,aux de armazem- Itapevi (5x2),https://www.catho.com.br/vagas/aux-de-armazem-itapevi-5x2/33222427/,,,,,,,,,"CANDIDATURA FÁCIL aux de armazem- Itapevi (5x2) RANDSTAD SP De R$ 2.001,00 a R$ 3.000,00 1 vaga: Itapevi - SP (1) Publicada hoje Recebimento, controle de entrada e saída de materiais; Movimentação de produtos; Conferência; Verificação de produtos e garantir a integridade dos registros e da embalagem; Além… continuar lendo Enviar Candidatura Fácil"
catho,Fiscal de Prevenção - Barueri,https://www.catho.com.br/vagas/fiscal-de-prevencao-barueri/33222426/,,,,Excel,,,,,"CANDIDATURA FÁCIL Fiscal de Prevenção - Barueri EXCELENCE SERVIÇOS De R$ 2.001,00 a R$ 3.000,00 1 vaga: Barueri - SP (1) Publicada hoje Possuir experiência na Função. Ira atuar com atendimento ao Publico em Empresa de Grande Porte, no ramo de Comercio Atacadista. Horário de trabalho : 14h00 as 22h20 Escala de… continuar lendo Enviar Candidatura Fácil"
catho,Auxiliar Produção,https://www.catho.com.br/vagas/auxiliar-producao/33222421/,,,,,,,,,"CANDIDATURA FÁCIL Auxiliar Produção RANDSTAD SP De R$ 2.001,00 a R$ 3.000,00 1 vaga: Cajamar - SP (1) Publicada hoje Recebimento, controle de entrada e saída de materiais; Movimentação de produtos; Conferência; Verificação de produtos e garantir a integridade dos registros e da embalagem; Além… continuar lendo Enviar Candidatura Fácil"
